prank,player,position,appearance,totalKill_perGame,totalAssist_perGame,totalDie_perGame,killDieAssist,money_perGame,creepScore_perGame,catchEye_perGame,rowEye_perGame,attendanceRate_perGame,modelViewPresenter
1,TESknight,中单,44,239,299,76,7.1,14041,284,11,9,71.5,12
2,JDGLokeN,ADC,48,205,322,86,6.1,14091,306,12,9,69.8,7
3,WEJiumeng,ADC,47,205,266,119,4.0,14529,293,12,11,69.4,12
4,TESJackeyLove,ADC,42,205,278,117,4.1,14217,292,11,15,72.2,11
5,LGDxiye,中单,52,191,289,124,3.9,13109,263,10,6,71.4,12
6,SNhuanfeng,ADC,52,189,286,102,4.7,14090,289,13,8,65.0,8
7,IGPuff,ADC,44,188,202,97,4.0,13120,249,9,9,60.2,3
8,LGDKramer,ADC,52,185,278,96,4.8,14015,295,14,10,68.8,4
9,JDGYagao,中单,48,184,328,84,6.1,13177,267,12,7,67.2,6
10,SNAngel,中单,52,176,319,113,4.4,12556,258,14,6,65.5,5
11,SNBin,上单,52,173,268,158,2.8,13405,256,11,5,57.8,4
12,JDGKanavi,打野,48,169,345,122,4.2,11844,214,11,15,67.5,11
13,V5Mole,中单,49,162,270,115,3.8,11426,239,9,4,63.2,10
14,V5Samd,ADC,43,158,220,81,4.7,13442,298,13,13,63.0,7
15,FPXDoinb,中单,45,157,315,115,4.1,13201,283,15,6,82.4,8
16,LGDPeanut,打野,52,152,331,121,4.0,11058,184,11,17,71.8,4
17,JDGZoom,上单,48,148,305,109,4.2,12866,271,14,5,61.7,5
18,FPXLwx,ADC,42,147,252,96,4.2,13315,277,14,11,70.3,3
19,BLGFoFo,中单,39,142,175,90,3.5,12816,270,14,6,71.3,6
20,WEbeishang,打野,47,141,314,93,4.9,11516,193,10,13,80.8,5
21,V5Weiwei,打野,49,140,328,92,5.1,10489,172,13,13,73.9,5
22,VGiBoy,ADC,41,139,211,94,3.7,13884,305,17,14,68.9,3
23,IGRookie,中单,44,138,277,110,3.8,11773,224,10,4,68.3,6
24,WETeacherma,中单,47,138,312,116,3.9,12309,239,13,5,70.3,2
25,EDGHope,ADC,32,136,206,67,5.1,15104,329,15,14,69.0,4
26,EDGScout,中单,37,136,270,73,5.6,14143,293,12,6,74.6,8
27,TES369,上单,44,136,289,112,3.8,13177,277,10,9,56.5,4
28,IGTheShy,上单,44,135,213,165,2.1,12347,227,9,4,46.9,6
29,VGZeka,中单,34,132,170,47,6.4,12432,251,14,5,68.8,7
30,ESWei,打野,40,130,213,125,2.7,11011,184,25,18,72.9,3
31,OMGCurse,上单,40,128,162,140,2.1,12996,268,12,6,60.2,4
32,V5Biubiu,上单,49,128,236,108,3.4,11457,235,12,5,54.4,2
33,OMGicon,中单,41,127,201,115,2.9,12708,275,12,4,63.3,4
34,FPXTian,打野,45,126,300,130,3.3,10800,173,16,12,73.9,2
35,RNGXLB,打野,39,126,232,90,4.0,10551,167,20,15,69.5,5
36,SNSofM,打野,52,125,375,136,3.7,10868,185,23,18,66.7,11
37,RNGXiaohu,中单,35,124,222,72,4.8,13179,276,11,8,71.1,5
38,LNGLight,ADC,36,121,144,77,3.4,13193,291,12,9,70.8,2
39,IGNing,打野,44,121,304,107,4.0,10073,149,9,7,67.0,7
40,LGDLangx,上单,51,117,271,141,2.8,12207,251,12,4,59.8,2
41,TESKarsa,打野,44,114,379,110,4.5,10843,183,18,13,65.4,1
42,BLGWings,ADC,38,108,183,89,3.3,14301,329,16,13,60.5,3
43,RWHaro,打野,31,107,175,85,3.3,11656,205,14,12,72.5,4
44,OMGSmlz,ADC,34,101,164,103,2.6,13500,301,12,11,62.1,4
45,RWZWuJi,ADC,36,100,198,100,3.0,12974,285,11,13,67.3,2
46,LNGMaple,中单,36,98,169,79,3.4,11515,247,15,5,68.6,4
47,ESWink,ADC,31,95,154,94,2.6,13811,311,13,11,62.5,7
48,WEMorgan,上单,47,92,270,114,3.2,11939,239,11,7,46.2,3
49,DMOTwila,中单,36,92,154,122,2.0,12005,260,13,6,62.2,1
50,ESFenfen,中单,38,91,218,103,3.0,11969,250,11,5,65.3,2
51,VGCube,上单,41,87,217,104,2.9,12260,261,17,4,58.4,2
52,FPXKhan,ADC,31,87,158,77,3.2,11495,230,14,6,59.8,2
53,RNGNew,上单,38,86,182,103,2.6,11898,243,12,5,48.0,0
54,ESXiaobai,上单,35,82,149,110,2.1,11467,235,12,4,49.8,0
55,OMGH4cker,打野,41,82,250,125,2.7,10307,173,15,12,67.2,2
56,EDGJiejie,打野,27,82,225,49,6.3,11026,167,18,14,74.3,5
57,RNGGALA,ADC,21,81,141,43,5.2,14621,321,9,10,64.8,4
58,EDGXiaoxiang,上单,19,80,120,55,3.6,13202,255,15,7,64.9,1
59,DMOxubin,ADC,30,79,135,77,2.8,13165,291,12,12,63.4,3
60,RWHolder,上单,33,79,169,130,1.9,11085,214,9,5,62.5,1
61,DMOXiaopeng,打野,34,73,171,129,1.9,10356,179,16,17,75.2,1
62,DMOChelizi,上单,30,72,128,96,2.1,12074,248,13,4,62.4,1
63,BLGMeteor,打野,27,67,198,58,4.6,11677,199,13,17,77.8,4
64,BLGKingen,上单,31,63,144,106,2.0,11702,238,13,6,64.9,1
65,RNGBetty,ADC,18,62,81,24,6.0,13314,287,18,13,67.3,2
66,RWRuby,中单,18,62,103,63,2.6,11767,238,15,9,72.3,0
67,LNGFlandre,上单,21,61,103,58,2.8,12753,274,6,9,72.2,2
68,VGLeyan,打野,22,59,111,73,2.3,11278,210,12,19,67.3,2
69,SNSwordArt,辅助,52,53,416,146,3.2,7824,34,54,9,62.8,2
70,VGAix,打野,19,49,114,36,4.5,10802,182,13,14,67.2,2
71,LNGXx,打野,36,46,220,84,3.2,9764,169,13,12,71.5,0
72,RWWuming,中单,18,44,96,36,3.9,11134,228,14,5,66.8,2
73,FPXGimGoon,上单,17,44,113,59,2.7,12696,234,16,6,62.2,2
74,EDGAodi,上单,20,43,129,55,3.1,12266,243,15,5,57.7,0
75,FPXCrisp,辅助,45,41,338,134,2.8,7464,36,48,6,64.3,4
76,WEMissing,辅助,47,36,398,160,2.7,7689,35,51,11,69.2,3
77,ESShiauC,辅助,40,34,300,147,2.3,7434,34,57,11,69.3,0
78,EDGJunJia,打野,10,32,65,26,3.7,11926,195,20,16,74.3,0
79,JDGLvMao,辅助,48,32,467,141,3.5,7627,35,57,12,62.9,3
80,RNGMing,辅助,39,31,315,106,3.3,7702,42,54,11,63.0,1
81,LNGchenlun17,上单,15,31,46,43,1.8,11455,245,12,5,53.5,1
82,ESrat,ADC,9,30,44,20,3.7,13052,283,12,8,62.5,0
83,TESyuyanjia,辅助,44,30,457,110,4.4,7675,32,54,9,65.0,2
84,OMGEric,ADC,7,28,40,24,2.8,13017,270,13,11,69.4,0
85,EDGMeiko,辅助,37,27,340,100,3.7,7948,36,54,11,66.7,1
86,LGDMark,辅助,48,24,398,114,3.7,7590,33,52,11,67.0,4
87,BLGXinMo,辅助,39,21,277,119,2.5,7199,30,56,9,64.6,0
88,V5ppgod,辅助,49,20,434,122,3.7,7027,30,46,10,68.5,3
89,EDGBBD,ADC,5,19,26,11,4.1,13382,262,15,11,63.8,0
90,BLGl3est16,打野,12,19,53,32,2.2,9533,167,12,13,72.2,0
91,V5y4,ADC,6,19,34,7,7.6,12521,218,10,6,71.9,1
92,IGBaolan,辅助,19,17,186,58,3.5,7099,32,43,7,64.5,2
93,BLGADD,上单,8,17,53,33,2.1,11570,229,17,6,62.5,1
94,OMGcold,辅助,27,16,205,81,2.7,7549,34,56,11,64.5,0
95,RWLey,辅助,33,16,270,106,2.7,7273,35,47,12,69.2,2
96,DMOYui,辅助,21,15,134,78,1.9,7328,36,50,10,63.9,0
97,VGMaestro,辅助,17,14,120,48,2.8,7498,34,51,8,52.9,1
98,DMOHelper,ADC,6,14,20,16,2.1,11561,232,12,9,75.3,0
99,VGForge,中单,7,12,39,26,2.0,11989,273,13,7,78.8,0
100,IGSouthwind,辅助,21,12,149,52,3.1,7220,33,47,9,61.6,0
101,VGHang,辅助,24,12,156,70,2.4,7368,51,52,13,65.1,0
102,OMGSora,辅助,14,12,113,31,4.0,7186,36,54,11,75.7,1
103,RNGCryin,中单,4,11,8,5,3.8,13188,304,13,4,83.2,1
104,ESCJJ,上单,4,8,23,15,2.1,12387,281,12,6,61.0,0
105,LNGDuan,辅助,19,8,125,70,1.9,6987,36,46,11,61.8,1
106,TESQiuQiu,ADC,2,8,23,7,4.4,13680,270,16,11,63.0,0
107,DMONatural,上单,6,8,12,30,0.7,11498,259,12,6,44.1,0
108,RWYoudang,打野,5,7,18,22,1.1,8553,131,10,7,65.6,0
109,BLGWings,ADC,1,6,6,0,0.0,13030,295,11,8,85.0,1
110,DMOMitsuki,辅助,15,6,88,57,1.6,6663,31,42,5,64.6,0
111,LNGIwandy,辅助,17,6,114,39,3.1,7129,42,52,12,70.9,1
112,ESirma,中单,2,4,6,5,2.0,12025,261,13,4,61.5,0
113,RWxunyu,辅助,3,3,18,22,1.0,7664,41,54,10,64.3,0
114,LGDGarvey,上单,1,3,1,3,1.3,10723,216,13,4,57.0,0
115,LGDKillua,辅助,4,2,34,11,3.3,6871,19,47,11,83.5,0
116,RWCrazy,上单,3,1,9,10,1.0,9455,215,13,3,45.0,0
117,OMGAliez,上单,1,1,0,3,0.3,8627,207,12,4,50.0,0
118,RNG705,上单,1,1,2,2,1.5,7857,178,11,2,60.0,0
119,ESCJJ,上单,1,0,3,4,0.8,11453,272,21,5,60.0,0
120,IGReheal,辅助,4,0,37,16,2.3,6873,30,37,7,74.5,0
