hrank,hero,appearance,pickRatio,banRatio,winRate,totalKill_perGame,totalDie_perGame,totalAssist_perGame,attendanceRate_perGame,commonPlayers
1,赏金猎人,195,54,6,49,806(4.1),411(2.1),1029(5.3),68.5,FPXLwx
2,惩戒之箭,162,44,24,50,661(4.1),400(2.5),913(5.6),70.0,FPXLwx
3,深海泰坦,160,44,16,47,134(0.8),543(3.4),1248(7.8),65.0,WEMissing
4,暗裔剑魔,136,37,9,52,355(2.6),357(2.6),654(4.8),54.5,TES369
5,山隐之焰,125,34,27,50,241(1.9),349(2.8),858(6.9),61.0,TES369
6,盲僧,123,34,18,48,335(2.7),339(2.8),792(6.4),64.5,FPXTian
7,残月之肃,122,33,62,56,510(4.2),254(2.1),650(5.3),68.0,TESJackeyLove
8,荒漠屠夫,120,33,34,53,323(2.7),308(2.6),619(5.2),52.0,FPXGimGoon
9,德玛西亚皇子,117,32,36,50,179(1.5),358(3.1),1194(10.2),90.5,WEbeishang
10,弗雷尔卓德之心,104,28,10,50,40(0.4),259(2.5),897(8.6),73.5,TESyuyanjia
11,腕豪,98,27,50,50,176(1.8),322(3.3),556(5.7),52.0,EDGAodi
12,曙光女神,96,26,10,51,83(0.9),313(3.3),717(7.5),54.0,WEMissing
13,魂锁典狱长,96,26,36,55,77(0.8),269(2.8),929(9.7),68.5,TESyuyanjia
14,沙漠皇帝,88,24,20,50,299(3.4),201(2.3),459(5.2),64.5,FPXDoinb
15,复仇之矛,86,23,36,50,324(3.8),185(2.2),410(4.8),72.0,LGDKramer
16,巨魔之王,80,22,12,60,158(2.0),182(2.3),679(8.5),72.0,OMGH4cker
17,铁铠冥魂,79,21,23,48,265(3.4),282(3.6),356(4.5),58.0,FPXGimGoon
18,诡术妖姬,75,20,44,48,298(4.0),137(1.8),398(5.3),68.5,RNGXiaohu
19,虚空遁地兽,74,20,14,50,230(3.1),222(3.0),392(5.3),59.5,TESKarsa
