prank,player,position,appearance,totalKill_perGame,totalAssist_perGame,totalDie_perGame,killDieAssist,money_perGame,creepScore_perGame,catchEye_perGame,rowEye_perGame,attendanceRate_perGame,modelViewPresenter
1,TESknight,中单,50,246,315,101,5.6,13832,285,10,7,74.1,15
2,WEJiumeng,ADC,48,236,273,120,4.2,13586,286,12,13,73.0,8
3,FPXLwx,ADC,50,223,309,89,6.0,14163,306,13,10,74.1,6
4,EDGHope,ADC,47,220,229,69,6.5,14733,313,14,16,73.8,8
5,IGPuff,ADC,45,218,233,106,4.3,13525,280,11,13,61.8,8
6,FPXDoinb,中单,50,215,339,98,5.7,13641,285,14,6,70.5,14
7,ESCryin,中单,41,214,317,87,6.1,14317,270,13,5,74.1,7
8,ESWink,ADC,41,190,300,87,5.6,15807,340,14,19,72.9,6
9,SNhuanfeng,ADC,39,186,215,102,3.9,14932,324,13,12,71.1,8
10,JDGLokeN,ADC,44,181,238,62,6.8,14357,322,14,13,70.0,5
11,IGRookie,中单,45,176,297,143,3.3,11567,232,10,7,66.3,11
12,SNAngel,中单,41,173,245,88,4.8,12696,256,15,6,70.8,8
13,RNGBetty,ADC,42,172,226,76,5.2,13979,298,16,16,66.6,5
14,EDGScout,中单,47,158,249,93,4.4,13445,276,12,6,69.1,7
15,JDGKanavi,打野,43,157,297,74,6.1,12019,206,14,19,72.2,13
16,LGDKramer,ADC,38,153,223,108,3.5,14002,275,18,18,76.3,5
17,JDGYagao,中单,43,153,250,68,5.9,12902,273,14,10,67.5,7
18,RWZWuJi,ADC,40,151,260,103,4.0,13209,267,13,16,72.9,3
19,IGTheShy,上单,45,145,256,194,2.1,12265,230,11,3,51.1,9
20,RNGXiaohu,中单,42,145,233,107,3.5,13184,269,15,6,66.8,6
21,BLGFoFo,中单,42,144,222,78,4.7,12984,276,15,10,74.3,1
22,TES369,上单,50,141,286,118,3.6,12691,258,12,5,55.8,3
23,VGiBoy,ADC,43,135,223,84,4.3,13742,295,15,21,68.0,5
24,FPXTian,打野,50,134,385,129,4.0,10378,161,18,13,65.9,4
25,BLGJinjiao,ADC,42,134,203,91,3.7,14221,310,16,16,64.5,7
26,WETeacherma,中单,38,133,279,104,4.0,11621,235,11,4,68.0,3
27,WEbeishang,打野,48,133,394,112,4.7,10702,172,14,13,76.8,6
28,LNGMaple,中单,40,127,191,79,4.0,12070,257,16,7,68.2,4
29,LGDPeanut,打野,37,125,233,98,3.7,11145,183,16,15,76.4,6
30,TESPhotic,ADC,31,124,178,81,3.7,13464,273,16,15,68.5,1
31,VGForge,中单,33,124,176,90,3.3,13230,278,15,6,69.0,6
32,WEMorgan,上单,48,124,271,144,2.7,11574,239,12,8,52.8,1
33,TESKarsa,打野,50,119,384,145,3.5,10707,167,22,10,60.2,7
34,RWHaro,打野,26,116,158,75,3.7,11611,184,17,12,76.3,4
35,ESXiaobai,上单,41,113,293,116,3.5,12542,249,15,7,57.8,1
36,LGDYuuki,中单,36,111,207,114,2.8,13089,277,13,7,66.2,4
37,OMGSmlz,ADC,38,110,151,81,3.2,12883,277,15,15,58.5,8
38,ESWei,打野,41,107,416,114,4.6,10977,156,22,17,76.8,4
39,RNGLangx,上单,42,106,232,92,3.7,12961,275,13,4,56.9,6
40,OMGicon,中单,38,106,160,92,2.9,12052,263,13,4,64.6,6
41,DMONatural,上单,34,106,134,86,2.8,12768,268,12,6,50.8,3
42,DMOGALA,ADC,35,101,179,73,3.8,13472,299,10,9,62.9,3
43,RNGXLB,打野,42,96,283,119,3.2,10330,178,18,17,75.6,3
44,VGCube,上单,43,95,226,96,3.3,11728,239,16,3,59.2,4
45,DMOxiye,中单,26,95,108,66,3.1,12341,252,10,7,68.3,1
46,LNGAsura,ADC,25,93,146,71,3.4,13300,261,16,13,74.8,4
47,IGLeyan,打野,30,92,176,99,2.7,10098,161,17,13,56.7,1
48,BLGKingen,上单,34,91,145,95,2.5,12464,252,13,7,56.0,4
49,OMGCurse,上单,38,90,129,116,1.9,11718,240,11,4,51.2,0
50,BLGMeteor,打野,42,85,282,102,3.6,10914,182,25,17,72.8,7
51,TESJackeyLove,ADC,19,85,117,49,4.1,15066,320,13,16,65.0,4
52,RWRuby,中单,31,84,183,104,2.6,11447,230,14,9,65.8,4
53,FPXGimGoon,上单,34,83,187,66,4.1,11734,241,16,5,58.1,3
54,VGAix,打野,31,81,199,69,4.1,10786,180,15,13,66.9,3
55,LNGXx,打野,40,80,219,119,2.5,9915,158,19,13,64.8,0
56,DMOXiaopeng,打野,31,77,226,94,3.2,10544,168,21,17,70.2,5
57,LNGFlandre,上单,32,75,163,107,2.2,12448,263,8,8,62.6,4
58,V5y4,ADC,33,74,134,111,1.9,10205,184,23,12,66.4,0
59,SNSofM,打野,41,73,359,130,3.3,10421,174,36,19,71.8,1
60,EDGAodi,上单,27,71,142,62,3.4,12235,239,12,6,62.0,0
61,OMGH4cker,打野,37,62,207,86,3.1,10019,173,14,12,67.1,2
62,RWCrazy,上单,26,62,133,67,2.9,11672,240,14,5,52.0,1
63,ESShiauC,辅助,41,61,421,136,3.5,8490,35,64,14,70.8,6
64,FPXKhan,上单,16,61,84,51,2.8,12111,212,16,5,55.1,4
65,JDGZoom,上单,23,60,160,40,5.5,13188,269,16,5,60.8,3
66,V5Mole,中单,27,60,102,115,1.4,10759,230,10,6,72.7,0
67,EDGJunJia,打野,31,53,239,91,3.2,10351,161,17,18,75.1,4
68,SNBiubiu,上单,22,53,143,72,2.7,11520,218,14,6,57.3,1
69,SNBin,上单,19,52,93,72,2.0,12402,254,10,4,51.4,1
70,LGDLies,上单,30,50,173,105,2.1,10958,220,15,4,57.3,0
71,V5Aliez,上单,28,48,83,107,1.2,10040,214,11,2,43.8,1
72,V5xiaohan,打野,23,45,93,96,1.4,9149,147,15,7,74.0,0
73,WEMissing,辅助,48,42,471,138,3.7,7717,39,52,12,76.2,5
74,IGSouthwind,辅助,45,42,402,102,4.4,7600,47,44,9,61.7,0
