trank,team,appearance,win_lose,winRate,totalKill_perGame,totalDie_perGame,catchEye_perGame,rowEye_perGame,money_perGame,baron_perGame,dragon_perGame
1,JDG,44,32/12,72,607,400,108,54,58517,2.6,0.9
2,FPX,50,33/17,66,746,541,114,48,57579,2.7,0.8
3,IG,46,30/16,65,713,686,94,47,54194,1.9,0.6
4,TES,50,30/20,60,741,637,112,49,58933,2.6,0.8
5,ES,41,24/17,58,685,540,133,66,62135,3.0,1.1
6,EDG,49,27/22,55,616,522,108,52,55636,2.4,0.7
7,RNG,42,21/21,50,549,506,126,59,58693,2.7,0.5
8,VG,43,21/22,48,509,529,111,54,56158,2.6,0.4
9,WE,49,24/25,48,686,646,101,50,53749,2.5,0.7
10,BLG,42,20/22,47,492,525,124,60,58102,2.5,0.7
11,SN,41,19/22,46,565,606,133,53,57379,2.2,0.5
12,RW,40,18/22,45,558,645,103,54,55431,2.1,0.5
13,OMG,38,17/21,44,396,477,98,45,54033,1.9,0.7
14,DMO,35,14/21,40,425,460,102,50,56250,2.4,0.6
15,LGD,38,15/23,39,491,591,114,56,57031,2.2,0.6
16,LNG,41,15/26,36,456,575,101,52,53101,2.4,0.4
17,V5,33,1/32,3,287,653,91,37,47741,1.4,0.1
