hrank,hero,appearance,pickRatio,banRatio,winRate,totalKill_perGame,totalAssist_perGame,totalDie_perGame,killDieAssist,commonPlayers
1,诺克萨斯统领,1,0%,0%,100%,6(6),15(15),1(1),21,Smlz
2,恶魔小丑,1,0%,1%,100%,4(4),12(12),1(1),16,Kanavi
3,暗夜猎手,8,2%,0%,87%,54(6.7),46(5.7),7(0.8),14.28,Viper
4,虚空行者,2,0%,0%,100%,11(5.5),15(7.5),3(1.5),8.66,Doinb
5,魔法猫咪,2,0%,0%,50%,0(0),28(14),4(2),7,yuyanjia
6,虚空先知,4,1%,0%,75%,16(4),46(11.5),9(2.2),6.88,Cryin
7,星界游神,8,2%,0%,75%,1(0.1),76(9.5),12(1.5),6.41,Baolan
8,瓦洛兰之盾,4,1%,0%,50%,2(0.5),41(10.2),7(1.7),6.14,Meiko
9,戏命师,26,6%,0%,42%,114(4.3),156(6),49(1.8),5.51,huanfeng
10,离群之刺,65,17%,45%,66%,302(4.6),309(4.7),112(1.7),5.45,knight
11,涤魂圣枪,19,5%,8%,68%,29(1.5),163(8.5),36(1.8),5.33,Smlz
12,探险家,141,37%,18%,49%,483(3.4),690(4.8),228(1.6),5.14,Viper
13,仙灵女巫,33,8%,14%,45%,36(1),280(8.4),62(1.8),5.09,Scout
14,战争之影,3,0%,0%,66%,7(2.3),17(5.6),5(1.6),4.8,Jiejie
15,荣耀行刑官,11,3%,6%,63%,50(4.5),83(7.5),28(2.5),4.75,Viper
16,寒冰射手,31,8%,4%,54%,75(2.4),221(7.1),63(2),4.69,Viper
17,暴走萝莉,30,8%,1%,50%,99(3.3),158(5.2),55(1.8),4.67,Viper
18,生化魔人,11,2%,2%,54%,16(1.4),76(6.9),20(1.8),4.6,Tarzan
19,熔岩巨兽,1,0%,0%,100%,2(2),7(7),2(2),4.5,icon
20,诡术妖姬,92,24%,43%,47%,337(3.6),469(5),182(1.9),4.42,Scout
21,爆破鬼才,47,12%,31%,53%,126(2.6),299(6.3),97(2),4.38,Lwx
22,卡牌大师,34,9%,13%,61%,63(1.8),266(7.8),78(2.2),4.21,Doinb
23,发条魔灵,48,12%,5%,43%,139(2.8),314(6.5),108(2.2),4.19,Doinb
24,盲僧,176,47%,42%,55%,660(3.7),1230(6.9),466(2.6),4.05,SofM
25,海洋之灾,9,2%,1%,44%,49(5.4),47(5.2),24(2.6),4,369
26,复仇之矛,64,17%,20%,56%,211(3.2),371(5.7),147(2.2),3.95,Viper
27,德玛西亚皇子,3,0%,0%,66%,1(0.3),38(12.6),10(3.3),3.9,Xiaopeng
28,解脱者,98,26%,24%,56%,401(4),505(5.1),235(2.3),3.85,Doinb
29,机械先驱,10,3%,0%,60%,25(2.5),52(5.2),20(2),3.85,Doinb
30,狂野女猎手,23,6%,8%,47%,85(3.6),123(5.3),54(2.3),3.85,Tarzan
31,沙漠玫瑰,4,1%,1%,75%,16(4),26(6.5),11(2.7),3.81,Able
32,元素女皇,2,0%,1%,50%,4(2),15(7.5),5(2.5),3.8,Creme
33,幻翎,63,16%,15%,56%,50(0.7),559(8.8),162(2.5),3.75,Meiko
34,冰霜女巫,18,4%,1%,50%,40(2.2),129(7.1),45(2.5),3.75,Scout
35,弗雷尔卓德之心,74,19%,7%,47%,38(0.5),685(9.2),193(2.6),3.74,Meiko
36,德邦总管,126,33%,48%,57%,372(2.9),928(7.3),349(2.7),3.72,Wei
37,天启者,36,10%,31%,47%,36(1),291(8),88(2.4),3.71,Meiko
38,祖安狂人,27,7%,3%,55%,46(1.7),162(6),56(2),3.71,Xiaohu
39,惩戒之箭,138,36%,37%,52%,487(3.5),767(5.5),342(2.4),3.66,Viper
40,远古巫灵,2,0%,0%,50%,12(6),10(5),6(3),3.66,icon
41,巨魔之王,47,12%,9%,51%,59(1.2),360(7.6),115(2.4),3.64,Missing
42,不灭狂雷,84,22%,16%,50%,218(2.5),552(6.5),212(2.5),3.63,Karsa
43,破败之王,157,41%,42%,54%,633(4),813(5.1),399(2.5),3.62,Karsa
44,刀锋舞者,18,4%,13%,61%,80(4.4),84(4.6),46(2.5),3.56,Doinb
45,牛头酋长,47,12%,7%,63%,30(0.6),453(9.6),136(2.8),3.55,Meiko
46,山隐之焰,7,1%,1%,56%,6(0.8),57(8.1),18(2.5),3.5,New
47,法外狂徒,8,2%,0%,37%,26(3.2),40(5),19(2.3),3.47,SofM
48,魂锁典狱长,93,24%,45%,52%,53(0.5),859(9.2),268(2.8),3.4,Meiko
49,疾风剑豪,8,2%,0%,50%,23(2.8),55(6.8),23(2.8),3.39,Scout
50,暮光星灵,25,7%,7%,40%,62(2.4),111(4.4),51(2),3.39,xiye
51,永猎双子,4,1%,1%,25%,12(3),25(6.2),11(2.7),3.36,Smlz
52,战争女神,5,1%,0%,20%,19(3.8),18(3.6),11(2.2),3.36,Smlz
53,虚空之女,74,19%,5%,41%,284(3.8),309(4.1),177(2.3),3.35,iBoy
54,机械公敌,77,20%,16%,41%,222(2.8),536(6.9),227(2.9),3.33,AKi
55,皎月女神,98,26%,24%,53%,330(3.3),675(6.8),308(3.1),3.26,SofM
56,齐天大圣,17,4%,5%,41%,67(3.9),69(4),42(2.4),3.23,Breathe
57,兽灵行者,39,11%,8%,35%,69(1.7),211(5.4),87(2.2),3.21,Karsa
58,含羞蓓蕾,5,1%,0%,40%,15(3),33(6.6),15(3),3.2,Doinb
59,北地之怒,5,1%,0%,20%,5(1),43(8.6),15(3),3.2,Clearlove
60,狂暴之心,27,7%,4%,62%,80(2.9),178(6.5),81(3),3.18,Flandre
61,无双剑姬,5,1%,0%,40%,15(3),23(4.6),12(2.4),3.16,Bin
62,虚空掠夺者,4,1%,0%,50%,11(2.7),17(4.2),9(2.2),3.11,SofM
63,狂战士,69,18%,14%,53%,216(3.1),358(5.1),186(2.6),3.08,SofM
64,残月之肃,117,31%,11%,47%,412(3.5),525(4.4),309(2.6),3.03,Viper
65,符文法师,62,16%,14%,33%,185(2.9),333(5.3),172(2.7),3.01,Scout
66,放逐之刃,1,2%,0%,100%,4(4),5(5),3(3),3,Breathe
67,复仇焰魂,3,0%,0%,66%,8(2.6),16(5.3),8(2.6),3,Smlz
68,正义巨像,31,8%,4%,41%,57(1.8),234(7.5),98(3.1),2.96,Doinb
69,圣枪游侠,48,12%,23%,41%,179(3.7),241(5),143(2.9),2.93,Flandre
70,河流之王,46,12%,6%,45%,40(0.8),327(7.1),126(2.7),2.91,Missing
71,未来守护者,75,20%,27%,54%,238(3.1),369(4.9),209(2.7),2.9,Flandre
72,暗黑元首,29,7%,2%,48%,72(2.4),167(5.7),85(2.9),2.81,Scout
73,青钢影,57,15%,23%,45%,197(3.4),285(5),175(3),2.75,Biubiu
74,光辉女郎,2,0%,0%,0%,0(0),11(5.5),4(2),2.75,XinLiu
75,镕铁少女,38,10%,6%,50%,23(0.6),337(8.8),133(3.5),2.7,Meiko
76,酒桶,14,4%,0%,56%,14(1),108(7.7),46(3.2),2.65,Karsa
77,荒漠屠夫,89,23%,61%,47%,211(2.3),469(5.2),256(2.8),2.65,Flandre
78,灵罗娃娃,133,35%,25%,54%,451(3.3),621(4.6),424(3.1),2.52,Breathe
79,时间刺客,1,0%,0%,0%,4(4),1(1),2(2),2.5,Tarzan
80,暴怒骑士,8,2%,0%,25%,23(2.8),41(5.1),26(3.2),2.46,Doinb
81,永恒梦魇,56,14%,44%,37%,136(2.4),345(6.1),197(3.5),2.44,Tarzan
82,武器大师,19,5%,4%,56%,70(3.6),72(3.7),58(3),2.44,Bin
83,深海泰坦,118,35%,22%,50%,79(0.6),910(7.7),415(3.5),2.38,Meiko
84,曙光女神,162,43%,18%,41%,85(0.5),1221(7.5),556(3.4),2.34,Meiko
85,腕豪,116,31%,23%,50%,271(2.3),656(5.6),397(3.4),2.33,Ming
86,猩红收割者,3,0%,0%,66%,4(1.3),17(5.6),9(3),2.33,xiaocaobao
87,深渊巨口,14,4%,5%,35%,42(3),57(4),44(3.1),2.25,Smlz
88,封魔剑魂,2,0%,0%,50%,2(1),8(4),5(2.5),2,Scout
89,沙漠皇帝,13,3%,0%,30%,20(1.5),47(3.6),34(2.6),1.97,FoFo
90,迷失之牙,35,9%,5%,31%,73(2),137(3.9),111(3.1),1.89,Flandre
91,虚空遁地兽,4,1%,0%,0%,19(4.7),9(2.2),17(4.2),1.64,Xiaopeng
92,逆羽,1,0%,0%,0%,3(3),5(5),5(5),1.6,GALA
93,麦林炮手,8,2%,0%,25%,19(2.3),21(2.6),26(3.2),1.53,Lwx
94,蒸汽机器人,2,0%,0%,0%,2(1),9(4.5),8(4),1.37,Missing
95,魔蛇之拥,1,2%,0%,0%,1(1),3(3),3(3),1.33,icon
96,时光守护者,1,0%,0%,0%,0(0),4(4),3(3),1.33,COLD
97,万花通灵,1,0%,0%,0%,0(0),7(7),6(6),1.16,Mole
98,暗裔剑魔,9,2%,0%,0%,13(1.4),29(3.2),40(4.4),1.05,Langx
99,蜘蛛女皇,1,0%,0%,0%,2(2),3(3),5(5),1,Karsa
100,瘟疫之源,2,0%,0%,0%,3(1.5),2(1),8(4),0.62,Smlz
