prank,player,appearance,modelViewPresenter,totalKill_perGame,totalAssist_perGame,totalDie_perGame,killDieAssist,money_perGame,creepScore_perGame,catchEye_perGame,rowEye_perGame,attendanceRate_perGame,contrapositionEconomicDifference,damage,gold
1,xiaolaohu,2,1,24,24,4,12,15697,283,9,9,75%,3823,27%,24%
2,Doinb,19,17,231,368,88,9,13688,276,14,7,73%,1835,24%,23%
3,Shenyi,2,0,4,51,11,7,7565,36,55,12,67%,652,4%,12%
4,Yuekai,2,0,16,21,5,7,13521,281,20,12,66%,3314,24%,21%
5,Viper,20,4,206,289,76,7,13875,292,19,12,64%,1316,30%,23%
6,Scout,20,11,205,325,97,7,13081,268,13,7,69%,1117,23%,22%
7,Lpc,2,0,20,29,12,7,12890,262,11,4,68%,-242,28%,23%
8,Jiejie,19,10,152,357,88,7,11055,178,12,12,71%,525,16%,18%
9,Light,19,3,191,335,84,7,13577,301,14,10,66%,230,27%,23%
10,Zhuo,13,0,24,335,70,6,7944,46,58,14,68%,607,6%,12%
11,yuyanjia,4,0,4,83,25,6,7029,32,45,10,73%,-104,6%,12%
12,beishang,22,8,204,443,149,6,11406,184,11,14,70%,298,17%,19%
13,Elk,22,9,214,412,127,6,13971,306,12,11,69%,540,31%,23%
14,huanfeng,17,3,168,247,60,6,14362,319,18,12,66%,570,28.9%,24%
15,knight,17,14,236,190,71,6,13994,287,8,9,65%,1759,24%,23%
16,Tarzan,21,14,178,440,141,6,11355,199,12,12,71%,176,17%,19%
17,Angel,17,7,130,283,83,6,12406,257,15,7,66%,211,21%,20%
18,Crisp,16,2,34,451,109,5,7720,50,48,9,69%,712,6%,13%
19,Iwandy,19,1,46,491,165,5,7600,39,61,15,67%,75,6%,13%
20,FoFo,17,9,156,243,71,5,12334,262,11,7,69%,706,25%,22%
21,LokeN,14,1,110,170,69,5,13073,285,16,9,64%,-97,23%,23%
22,LP,2,0,19,32,15,5,13693,288,13,12,67%,-862,28%,23%
23,Shanks,17,9,184,305,126,5,12929,265,12,7,65%,-273,22%,21%
24,Breathe,22,7,248,328,162,5,13376,266,14,6,63%,1006,22%,22%
25,Kanavi,16,8,147,232,119,5,11477,200,12,14,74%,415,21%,20%
26,Missing,22,0,33,615,185,5,7784,36,55,11,71%,280,7%,13%
27,Betty,13,1,101,209,74,5,12826,277,12,10,76%,-835,28%,23%
28,fearness,11,1,68,107,63,5,12435,252,8,7,65%,142,22%,22%
