trank,team,appearance,win_lose,winRate,totalKill_perGame,totalDie_perGame,catchEye_perGame,rowEye_perGame,money_perGame,baron_perGame,dragon_perGame
1,FPX,19,15/4,78,813,636,104,48,58620,0.6,2.6
2,EDG,20,15/5,75,766,543,104,52,58558,0.8,2.6
3,RA,17,11/6,64,576,529,102,53,55811,0.5,2.5
4,WE,22,14/8,63,913,798,106,52,59038,0.7,2.2
5,LNG,21,13/8,61,867,768,113,50,57997,0.6,1.8
6,BLG,17,10/7,57,608,596,104,48,58066,0.7,2.2
7,TES,17,10/7,57,646,533,102,50,59333,0.8,2.5
8,RNG,17,10/7,57,656,567,112,53,58927,0.8,2.2
9,WBG,17,9/8,52,621,508,134,55,59181,0.5,2.1
10,OMG,17,9/8,52,488,543,88,43,51772,0.5,2
11,JDG,16,7/9,43,507,555,102,46,55374,0.5,2.1
12,LGD,16,7/9,43,507,543,98,52,55922,0.5,2
13,IG,16,6/10,37,472,556,97,45,53287,0.6,1.9
14,UP,16,5/11,31,455,607,102,47,53512,0.5,1.9
15,AL,16,5/11,31,467,594,99,46,54115,0.5,1.6
16,TT,16,2/14,12,369,592,100,45,51552,0.3,1.8
17,V5,16,0/16,0,271,548,99,43,48809,0.2,1.2
