hrank,hero,appearance,pickRatio,banRatio,winRate,totalKill_perGame,totalAssist_perGame,totalDie_perGame,killDieAssist,commonPlayers
1,虚空行者,6,1%,0%,100%,34(5.6),49(8.1),2(0.3),41.5,Angel
2,暴怒骑士,4,1%,1%,100%,8(2),35(8.7),6(1.5),7.16,Doinb
3,盲僧,6,1%,0%,66%,24(4),47(7.8),11(1.8),6.45,Karsa
4,解脱者,27,7%,7%,66%,118(4.3),175(6.4),52(1.9),5.63,Doinb
5,蜘蛛女皇,1,0%,1%,100%,3(3),8(8),2(2),5.5,Kanavi
6,北地之怒,9,2%,0%,66%,12(1.3),75(8.3),16(1.7),5.43,Flandre
7,发条魔灵,137,38%,32%,53%,401(2.9),972(7),275(2),4.99,Doinb
8,惩戒之箭,18,5%,2%,72%,73(4),110(6.1),37(2),4.94,JackeyLove
9,暴走萝莉,43,12%,4%,55%,183(4.2),257(5.9),91(2.1),4.83,LokeN
10,时光守护者,4,1%,2%,50%,2(0.5),27(6.7),6(1.5),4.83,Angel
11,英勇投弹手,10,2%,1%,50%,39(3.9),52(5.2),19(1.9),4.78,Cryin
12,荣耀行刑官,4,1%,0%,50%,23(5.7),15(3.7),8(2),4.75,JackeyLove
13,万花通灵,2,0%,0%,100%,11(5.5),22(11),7(3.5),4.71,Twila
14,水晶先锋,4,1%,0%,75%,8(2),29(7.2),8(2),4.62,Karsa
15,赏金猎人,17,5%,2%,47%,52(3),81(4.7),29(1.7),4.58,Viper
16,逆羽,89,25%,9%,57%,381(4.2),475(5.3),187(2.1),4.57,Viper
17,德玛西亚之翼,5,1%,3%,80%,40(8),24(4.8),14(2.8),4.57,TheShy
18,魔蛇之拥,5,1%,2%,60%,20(4),30(6),11(2.2),4.54,Twila
19,符文法师,30,8%,7%,53%,117(3.9),194(6.4),70(2.3),4.44,Doinb
20,暮光星灵,67,18%,53%,46%,213(3.1),347(5.1),127(1.8),4.4,Yagao
21,不屈之枪,33,10%,30%,69%,132(4),183(5.5),72(2.1),4.37,Karsa
22,离群之刺,11,3%,16%,54%,46(4.1),50(4.5),22(2),4.36,Doinb
23,虚空之女,192,54%,37%,56%,1008(5.2),832(4.3),424(2.2),4.33,Viper
24,卡牌大师,45,12%,43%,51%,97(2.1),335(7.4),102(2.2),4.23,Yagao
25,河流之王,22,6%,5%,50%,13(0.5),177(8),47(2.1),4.04,Meiko
26,时间刺客,2,0%,0%,0%,8(4),4(2),3(1.5),4,Zeka
27,狂野女猎手,45,12%,33%,56%,152(3.3),261(5.8),103(2.2),4,Karsa
28,戏命师,32,10%,2%,40%,105(3.2),130(4),59(1.8),3.98,Viper
29,战争之影,94,26%,21%,54%,286(3),751(7.9),264(2.8),3.92,Karsa
30,圣枪游侠,39,11%,19%,66%,159(4),214(5.4),97(2.4),3.84,Xiaohu
31,麦林炮手,114,32%,21%,51%,463(4),497(4.3),255(2.2),3.76,Viper
32,海洋之灾,29,8%,6%,57%,94(3.2),170(5.8),71(2.4),3.71,369
33,兽灵行者,149,42%,24%,46%,343(2.3),944(6.3),349(2.3),3.68,Karsa
34,永恒梦魇,20,5%,12%,55%,52(2.6),154(7.7),56(2.8),3.67,Flandre
35,含羞蓓蕾,100,28%,27%,51%,300(3),650(6.5),259(2.5),3.66,Wei
36,星籁歌姬,26,7%,15%,42%,28(1),154(5.9),50(1.9),3.64,Cryin
37,弗雷尔卓德之心,4,1%,0%,25%,1(0.2),28(7),8(2),3.62,XinLiu
38,幻翎,31,8%,7%,54%,21(0.6),304(9.8),90(2.9),3.61,Meiko
39,岩雀,22,7%,12%,72%,77(3.5),157(7.1),67(3),3.49,Tian
40,机械公敌,14,4%,1%,42%,37(2.6),95(6.7),38(2.7),3.47,Doinb
41,沙漠皇帝,92,25%,23%,52%,230(2.5),481(5.2),210(2.2),3.38,Rookie
42,元素女皇,1,2%,2%,100%,3(3),7(7),3(3),3.33,Scout
43,狂战士,119,33%,32%,48%,374(3.1),605(5),295(2.4),3.31,Karsa
44,法外狂徒,66,18%,7%,30%,234(3.5),294(4.4),160(2.4),3.3,Kanavi
45,探险家,13,3%,1%,38%,44(3.3),69(5.3),35(2.6),3.22,iBoy
46,机械先驱,63,17%,5%,49%,175(2.7),355(5.6),167(2.6),3.17,Doinb
47,残月之肃,61,17%,14%,47%,220(3.6),292(4.7),162(2.6),3.16,Lwx
48,荒漠屠夫,118,33%,52%,52%,268(2.2),672(5.6),300(2.5),3.13,Doinb
49,青钢影,46,12%,35%,52%,149(3.2),237(5.1),124(2.6),3.11,Bin
50,沙漠玫瑰,60,16%,22%,38%,253(4.2),229(3.8),157(2.6),3.07,Lwx
51,牛头酋长,168,47%,30%,50%,140(0.8),1445(8.6),525(3.1),3.01,Meiko
52,暮光之眼,4,1%,0%,50%,5(1.2),28(7),11(2.7),3,ppgod
53,酒桶,116,32%,32%,56%,159(1.3),767(6.6),308(2.6),3,Meiko
54,正义巨像,59,16%,12%,42%,101(1.7),470(7.9),191(3.2),2.98,Meiko
55,魂锁典狱长,78,22%,45%,51%,36(0.4),679(8.7),241(3),2.96,Crisp
56,星界游神,4,1%,0%,75%,2(0.5),27(6.7),10(2.5),2.9,Hang
57,未来守护者,83,23%,25%,59%,246(2.9),473(5.6),250(3),2.87,Flandre
58,影流之镰,9,2%,0%,55%,27(3),36(4),22(2.4),2.86,SofM
59,堕落天使,2,0%,0%,0%,1(0.5),16(8),6(3),2.83,Ming
60,涤魂圣枪,18,5%,2%,27%,45(2.5),128(7.1),62(3.4),2.79,Viper
61,迷失之牙,143,40%,42%,53%,305(2.1),741(5.1),377(2.6),2.77,Flandre
62,亡灵战神,46,12%,7%,39%,70(1.5),284(6.1),128(2.7),2.76,369
