prank,player,appearance,modelViewPresenter,totalKill_perGame,totalAssist_perGame,totalDie_perGame,killDieAssist,money_perGame,creepScore_perGame,catchEye_perGame,rowEye_perGame,attendanceRate_perGame,contrapositionEconomicDifference,damage,gold
1,huanfeng,19,6,240,216,56,8,14794,320,16,12,70%,1833,28%,25%
2,Angel,19,4,120,322,61,8,12223,262,14,7,68%,107,23%,20%
3,Bo,5,1,68,62,24,8,12994,218,6,10,68%,3314,22%,21%
4,GALA,20,6,302,286,98,7,14964,319,10,12,67%,1353,25%,24%
5,SofM,19,8,119,310,106,7,10833,193,21,18,66%,484,16%,19%
6,Viper,19,11,250,241,84,7,14838,319,22,16,69%,1479,28%,25%
7,Wei,20,12,167,444,127,7,11136,179,24,17,69%,501,17%,18%
8,Cryin,20,6,171,414,115,6,12957,273,13,6,67%,753,26%,21%
9,Zhuo,19,1,36,470,115,6,7526,44,50,15,64%,591,6%,13%
10,Jiejie,19,7,111,385,90,6,10811,186,15,14,70%,272,13%,18%
11,knight,19,4,207,312,92,6,12943,268,8,8,65%,1506,25%,22%
12,Scout,19,10,196,292,90,6,13208,282,13,7,68%,1214,27%,22%
13,Doinb,21,6,165,415,116,6,12210,257,13,5,69%,1142,24%,21%
14,Tian,10,8,83,214,82,6,10283,179,14,12,68%,-34,14%,18%
15,Lwx,21,11,279,265,126,6,13505,275,13,9,65%,545,23%,24%
16,JackeyLove,19,9,233,296,126,5,14270,283,11,13,67%,1328,28%,24%
17,Puff,7,3,67,70,34,5,12644,279,10,10,66%,564,21%,24%
18,Karsa,19,8,158,349,113,5,11114,190,14,10,64%,805,14%,18%
19,Ming,20,4,48,559,157,5,7875,40,55,12,69%,753,7%,13%
20,Kanavi,17,5,152,261,93,5,11879,213,19,16,72%,1000,18%,20%
21,Bin,19,7,140,247,82,5,12538,252,14,5,60%,1135,22%,21%
22,Meteor,16,4,106,191,68,5,11334,214,9,12,67%,-65,17%,20%
23,Zeka,16,5,93,218,76,5,12092,259,13,5,71%,-276,24%,21%
24,FoFo,18,5,132,265,80,5,13181,290,13,8,70%,631,28%,22%
25,Meiko,19,2,50,455,132,5,7770,36,49,7,71%,705,8%,13%
26,LokeN,17,4,161,234,85,5,14202,303,17,12,69%,648,27%,25%
27,ON,19,3,26,382,121,5,7251,34,50,10,63%,133,8%,12%
28,Wink,10,2,97,136,49,5,13199,278,16,11,60%,359,22%,23%
29,Flandre,19,5,101,296,93,5,12357,263,8,9,56%,132,22%,20%
30,Beichuan,6,2,48,117,39,5,10824,191,8,8,76%,213,20%,19%
31,Xiaohu,20,9,185,398,141,5,13135,260,13,7,66%,1100,23%,21%
32,Xun,17,7,174,243,101,5,10901,183,12,11,70%,346,18%,19%
33,Crisp,21,4,41,509,159,5,7195,38,46,8,65%,349,6%,12%
34,LvMao,17,3,33,349,138,5,7358,34,45,8,66%,36,8%,12%
35,Rookie,17,5,114,289,90,5,11443,239,12,8,68%,306,26%,21%
36,Trigger,11,1,72,74,49,4,12358,275,14,10,57.9%,-1196,23%,23%
37,Weiwei,16,7,120,224,105,4,10640,185,13,11,75%,-223,19%,20%
38,369,19,8,155,294,120,4,12534,247,11,6,56%,1111,25%,21%
39,iBoy,18,9,158,197,98,4,14526,320,11,15,62%,164,23%,24%
40,xiaopang,16,0,93,189,105,4,11006,242,12,5,69%,-1595,23%,21%
41,Yagao,16,6,120,236,73,4,12667,261,10,8,63%,594,23%,21%
42,Aiming,16,3,138,143,93,4,13500,298,16,12,64%,-428,25%,24%
43,Baolan,6,0,12,112,45,4,6985,35,46,10,61%,198,5%,12%
44,Hang,18,2,44,340,116,4,7620,38,58,12,67%,129,7%,12%
45,Nuguri,21,5,151,329,162,4,11936,239,10,7,56.9%,1249,27%,21%
46,y4,9,0,62,75,42,4,12311,267,11,6,65%,-1261,23%,23%
47,XinLiu,11,0,16,235,71,4,6929,33,48,9,64%,256,6%,12%
48,Aodi,3,1,14,43,18,4,9781,190,10,2,67%,-1268,23%,19%
49,Xiaopeng,13,0,103,179,102,4,10950,188,10,15,73%,-419,19%,19%
50,Zoom,17,7,101,232,87,4,12379,257,14,6,57.9%,617,21%,20%
51,Mole,16,4,110,192,105,4,11738,253,9,6,66%,-164,26%,22%
52,Langx,13,2,53,166,76,4,11032,235,12,5,61%,-510,22%,21%
53,Kramer,14,4,118,118,83,4,13258,288,14,12,67%,-1161,26%,25%
54,Twila,14,2,72,171,89,4,11507,253,12,6,61%,-1323,25%,21%
55,irma,14,1,68,179,90,4,11219,251,13,6,71%,-1436,26%,21%
56,H4cker,16,3,82,182,97,4,10241,188,12,13,70%,-1085,15%,19%
57,SamD,16,5,140,158,123,3,13401,296,14,13,70%,-1000,24%,24%
58,Mark,7,1,7,137,54,3,7746,39,53,15,66%,-122,7%,12%
59,AKi,16,2,88,192,102,3,10080,186,12,11,69%,-939,16%,19%
60,beishang,17,9,120,239,81,3,10739,191,9,14,69%,460,15%,19%
61,Eric,15,2,134,143,102,3,13004,290,20,14,71%,-1229,26%,24%
62,ppgod,16,0,22,289,139,3,6832,33,43,10,68%,-358,8%,13%
63,Uniboy,16,3,95,187,101,3,11467,252,11,6,71%,-1277,28%,21%
64,rat,16,0,121,140,111,3,12377,273,12,11,69%,-2119,26%,24%
65,Elk,17,6,161,196,92,3,13231,285,14,10,69%,394,28.9%,24%
66,Chance,11,1,19,177,95,3,7082,36,49,11,67%,-489,6%,13%
67,New,13,4,51,160,98,3,11110,233,12,5,60%,-660,23%,21%
68,Bright,1,0,5,11,5,3,11803,235,16,10,61%,-3624,26%,19%
69,Cube,18,3,94,212,121,3,12056,258,17,5,54%,-63,22%,20%
70,Breathe,17,2,102,219,76,3,11724,241,13,5,62%,655,21%,21%
71,Kui,16,1,61,179,102,3,9864,179,11,12,66%,-1168,15%,18%
72,Light,17,3,145,151,78,3,13444,301,11,9,71%,104,24%,25%
